name,N,CSF1PO allele count,D13S317 allele count,D16S539 allele count,D18S51 allele count,D19S433 allele count,D21S11 allele count,D2S1338 allele count,D3S1358 allele count,D5S818 allele count,D7S820 allele count,D8S1179 allele count,FGA allele count,TH01 allele count,TPOX allele count,vWA allele count,CSF1PO sum allele freq,D13S317 sum allele freq,D16S539 sum allele freq,D18S51 sum allele freq,D19S433 sum allele freq,D21S11 sum allele freq,D2S1338 sum allele freq,D3S1358 sum allele freq,D5S818 sum allele freq,D7S820 sum allele freq,D8S1179 sum allele freq,FGA sum allele freq,TH01 sum allele freq,TPOX sum allele freq,vWA sum allele freq
C79C+C88C,2p,3,2,2,4,3,3,3,4,3,3,3,3,4,1,4,0.8892,0.3158,0.6288,0.5181,0.6731,0.5318,0.4059,0.6163,0.4848,0.6052,0.4667,0.41,0.6441,0.5249,0.7922
C82C+C87C,2p,3,3,2,3,2,3,2,3,3,3,4,2,3,4,2,0.5942,0.5236,0.4778,0.4322,0.6163,0.583,0.223,0.6177,0.8865,0.6205,0.7673,0.3574,0.7743,0.9543,0.3878
C83C+C92C,2p,3,4,3,3,3,2,3,2,3,3,4,4,3,2,2,0.8892,0.831,0.6856,0.313,0.5748,0.1703,0.3726,0.4239,0.5541,0.5166,0.7659,0.5333,0.6579,0.777,0.3767
C87C+C92C,2p,3,3,3,3,2,3,3,3,3,3,4,3,3,2,3,0.543,0.3144,0.5346,0.3961,0.518,0.4528,0.3795,0.6621,0.5541,0.5319,0.7022,0.4807,0.6995,0.777,0.4806
BC11352+GT38065+WA29583,3p,5,4,4,4,2,5,5,4,4,4,4,5,3,2,3,0.9848,0.5318,0.6731,0.5541,0.6163,0.8143,0.6385,0.7063,0.9419,0.7645,0.6966,0.7937,0.7743,0.5665,0.5775
BC11352+MT94842+C32C,3p,2,4,3,6,2,5,4,4,3,4,5,3,4,1,2,0.3906,0.831,0.4958,0.6898,0.6163,0.7645,0.4848,0.8282,0.7992,0.7881,0.7728,0.3518,0.6843,0.5249,0.3878
BC11352+MT97159+TT51698,3p,3,3,3,5,3,4,5,4,4,4,3,4,3,3,3,0.7507,0.4626,0.6468,0.6192,0.6523,0.6482,0.5706,0.5914,0.8408,0.7881,0.572,0.5443,0.7743,0.9044,0.59
BC11352+MT97172+TT51679,3p,4,3,4,5,5,5,4,4,3,4,4,4,3,1,4,0.9709,0.7105,0.6024,0.6317,0.8794,0.7451,0.4072,0.8282,0.7992,0.7881,0.6329,0.615,0.7743,0.5249,0.7922
BC11352+TT50701+UT58317,3p,3,3,5,5,3,3,5,3,4,4,4,4,4,3,4,0.6108,0.4889,0.9168,0.5818,0.7728,0.644,0.6122,0.5553,0.9419,0.7645,0.7659,0.5969,0.8699,0.8186,0.5859
BC11352+TT50720+UA16927,3p,4,5,3,5,3,4,5,4,5,4,4,4,3,2,3,0.7562,0.8739,0.6468,0.5583,0.7728,0.5429,0.6829,0.741,0.9835,0.7881,0.7022,0.5706,0.7743,0.5665,0.59
BC11352+UA16896+C59C,3p,2,4,3,4,3,5,4,4,3,3,3,3,4,2,2,0.3906,0.831,0.6468,0.417,0.6869,0.806,0.5776,0.8282,0.7992,0.6205,0.6634,0.3919,0.8699,0.6523,0.4861
BC11352+C45C+C68C,3p,4,4,5,5,4,4,5,3,4,4,5,4,4,2,2,0.9709,0.831,0.9168,0.6926,0.788,0.734,0.5998,0.59,0.8061,0.7881,0.7812,0.5125,0.7951,0.6523,0.4861
GC03394+GT38108+MT94850,3p,3,2,3,4,3,6,6,4,3,4,4,3,3,3,2,0.8892,0.5942,0.7922,0.59,0.7728,0.9043,0.6607,0.7687,0.7992,0.7645,0.6136,0.3075,0.7743,0.9044,0.4861
GC03394+JA44327+MT97165,3p,3,3,4,4,4,4,4,3,2,4,4,4,6,2,3,0.8892,0.6718,0.849,0.5665,0.6454,0.655,0.446,0.6621,0.7438,0.7645,0.7673,0.6413,0.9904,0.777,0.6869
GC03394+MT94807+ZT81337,3p,3,3,3,5,4,5,3,3,3,4,3,3,5,4,3,0.662,0.5623,0.5346,0.5748,0.6108,0.806,0.4474,0.6621,0.7854,0.7645,0.6011,0.507,0.989,0.946,0.6869
GC03394+MT94835+PT83535,3p,4,3,4,4,4,6,5,3,2,5,4,3,4,3,3,0.6717,0.7105,0.8102,0.5333,0.7963,0.7243,0.6053,0.5305,0.7438,0.7922,0.6759,0.4363,0.8699,0.8269,0.5789
GC03394+MT94858+WT52471,3p,3,2,4,4,4,6,5,3,2,4,3,5,4,4,4,0.8892,0.5942,0.8988,0.5098,0.8088,0.6634,0.5582,0.5305,0.7438,0.7881,0.6634,0.5818,0.6441,0.9543,0.7797
GC03394+MT94877+TT50701,3p,3,3,3,5,4,4,4,4,3,4,5,3,4,4,3,0.8892,0.6413,0.7922,0.6302,0.8434,0.6467,0.4972,0.7687,0.8865,0.7881,0.7175,0.3255,0.8934,0.8685,0.5789
GC03394+MT97156+WT51358,3p,4,2,4,6,3,4,5,5,4,4,3,4,3,3,4,0.9709,0.5942,0.6107,0.4516,0.7728,0.4708,0.615,0.9792,0.9419,0.6551,0.5734,0.4378,0.7743,0.9044,0.7922
GC03394+OT07760+ZT81377,3p,3,2,4,4,4,4,5,3,4,4,3,5,2,2,3,0.8892,0.5942,0.6107,0.5208,0.7742,0.716,0.5942,0.6621,0.8061,0.6482,0.3463,0.7937,0.4294,0.777,0.6869
GC03394+OT07785+C08C,3p,3,3,3,5,4,5,4,4,3,3,4,4,3,2,4,0.8892,0.6718,0.5844,0.7036,0.8088,0.5719,0.5208,0.5471,0.8865,0.6205,0.5402,0.5887,0.7743,0.5665,0.7797
GC03394+OT07803+TT51696,3p,4,3,3,4,2,4,5,4,3,3,4,4,5,4,3,0.9709,0.7105,0.7922,0.5568,0.518,0.716,0.6081,0.741,0.8865,0.5083,0.5443,0.5429,0.989,0.8685,0.5789
GC03394+TT51677+UT57292,3p,3,3,4,3,4,5,2,3,3,4,3,3,3,1,4,0.8892,0.5236,0.8988,0.4557,0.8434,0.6522,0.3421,0.6621,0.8865,0.7645,0.6011,0.507,0.5485,0.5249,0.7922
GC03394+UA16891+C46C,3p,3,3,4,3,4,5,4,3,4,5,4,3,3,2,3,0.8892,0.6371,0.6412,0.4322,0.8434,0.6343,0.4501,0.6621,0.9281,0.9321,0.6689,0.3519,0.525,0.5665,0.59
GC03394+UA16924+UT57292,3p,3,2,3,3,4,4,3,3,2,4,3,4,3,2,4,0.8892,0.5942,0.7922,0.4322,0.8434,0.5622,0.4474,0.6621,0.7438,0.6759,0.6634,0.6594,0.5485,0.6523,0.7908
GC03394+UC10178+WT51386,3p,4,2,3,3,5,5,4,3,2,5,3,3,4,3,4,0.9709,0.4031,0.7922,0.3865,0.9002,0.8143,0.4751,0.6344,0.7438,0.9321,0.41,0.4654,0.8934,0.9044,0.6828
GC03394+UT57303+WA29566,3p,3,4,4,4,4,4,4,4,4,4,3,4,4,2,4,0.5942,0.831,0.8988,0.5665,0.8434,0.716,0.5776,0.8726,0.9419,0.7645,0.6011,0.5569,0.6441,0.777,0.7922
GT36864+GT38089+C62C,3p,3,2,3,3,3,4,5,4,3,5,3,4,3,3,3,0.8892,0.5942,0.7922,0.3449,0.7728,0.673,0.6704,0.7687,0.7854,0.9321,0.536,0.5125,0.7743,0.9044,0.4958
GT36864+MT94827+WT52493,3p,4,3,2,6,4,5,4,3,4,4,2,5,4,3,5,0.9709,0.5623,0.6288,0.6746,0.788,0.6952,0.4945,0.7216,0.6275,0.7271,0.4972,0.4432,0.7535,0.9044,0.7977
GT36864+MT94868+MT97195,3p,2,3,3,6,3,5,3,4,4,4,3,5,3,3,4,0.5803,0.6718,0.7354,0.6275,0.6398,0.5221,0.3795,0.8726,0.9281,0.7645,0.6634,0.7093,0.6344,0.9044,0.5997
GT36864+MT94888+C37C,3p,3,4,3,4,5,6,4,3,4,4,4,4,4,3,4,0.8892,0.5665,0.7922,0.4266,0.8656,0.5817,0.5651,0.6177,0.9281,0.536,0.6773,0.4599,0.8699,0.9044,0.7922
GT36864+UT57301+C14C,3p,3,3,3,5,4,4,6,2,4,5,2,6,4,4,4,0.8892,0.5623,0.7354,0.6302,0.7091,0.6301,0.7009,0.5111,0.9281,0.5402,0.4958,0.6191,0.8934,0.9543,0.7922
GT36864+WA29572+C09C,3p,4,4,3,6,3,4,4,4,5,5,4,4,2,3,5,0.9709,0.7923,0.7354,0.6926,0.7728,0.673,0.4529,0.8282,0.9295,0.7036,0.7036,0.5569,0.5388,0.9044,0.8836
GT36864+WT51343+C10C,3p,3,4,2,3,4,4,4,3,4,4,2,5,3,3,3,0.8892,0.831,0.6288,0.3213,0.8434,0.5498,0.4432,0.7216,0.9281,0.5872,0.4972,0.7203,0.7743,0.9044,0.6869
GT36866+GT38108+MT94882,3p,3,4,4,3,3,5,5,4,3,3,2,4,3,2,3,0.8892,0.7534,0.8988,0.4405,0.6869,0.7021,0.4072,0.8282,0.8865,0.5678,0.4321,0.4599,0.7743,0.777,0.6869
